ActivityKey,Type
187549,Course
189159,Course
39098,Exam
12762,Track
8536,Assessment
26486,Exam
3416,Assessment
21286,Assessment
1342,Track
612,Track
44828,Exam
30212,Track
26776,Certification
1256,Certification
16056,Assessment
36646,Exam
16082,Track
44788,Exam
43798,Exam
104579,Course
108319,Course
123079,Course
123289,Course
169829,Course
173669,Course
21416,Assessment
2236,Exam
20156,Assessment
37086,Exam
186119,Course
187659,Course
6472,Track
11102,Track
8556,Assessment
26876,Certification
3486,Assessment
21406,Assessment
238,Exam
45538,Exam
28002,Track
51978,Exam
26826,Certification
1266,Certification
16076,Assessment
36756,Exam
12742,Track
42038,Exam
29372,Track
104569,Course
109599,Course
123089,Course
126379,Course
168389,Course
176239,Course
21696,Assessment
2256,Assessment
20226,Assessment
37166,Exam
186869,Course
188569,Course
15312,Track
14662,Track
8566,Certification
26916,Certification
3496,Certification
21446,Assessment
47438,Exam
98218,Exam
51968,Exam
2722,Track
26936,Certification
1436,Assessment
16116,Assessment
36866,Exam
342,Track
31292,Track
86518,Exam
104839,Course
108119,Course
120609,Course
138439,Course
161369,Course
175999,Course
21726,Assessment
2316,Assessment
20406,Assessment
37186,Exam
186789,Course
189589,Course
87018,Exam
13332,Track
8596,Assessment
27166,Certification
3576,Assessment
21466,Assessment
49098,Exam
44858,Exam
8992,Track
50748,Exam
26956,Certification
1446,Assessment
16256,Assessment
36936,Exam
3572,Track
13432,Track
52058,Exam
104349,Course
116189,Course
122469,Course
123869,Course
170099,Course
174339,Course
21736,Assessment
2456,Assessment
20466,Assessment
37206,Exam
185519,Course
188689,Course
9892,Track
13732,Track
8616,Assessment
27256,Certification
3616,Certification
21596,Assessment
45968,Exam
41068,Exam
7722,Track
49928,Exam
27006,Certification
1486,Assessment
16396,Assessment
36966,Exam
30842,Track
28582,Track
26082,Track
103899,Course
114539,Course
119969,Course
137369,Course
157219,Course
175969,Course
21756,Assessment
2576,Assessment
20546,Assessment
37246,Exam
186799,Course
189529,Course
11682,Track
43198,Exam
8766,Assessment
27296,Certification
3636,Assessment
21616,Assessment
3312,Track
54298,Exam
9212,Track
592,Track
27066,Certification
1586,Assessment
16406,Assessment
37026,Exam
1992,Track
13122,Track
42338,Exam
103399,Course
108579,Course
123409,Course
138129,Course
168679,Course
172959,Course
21796,Assessment
2616,Certification
20806,Assessment
37276,Exam
181449,Course
189359,Course
8592,Track
6022,Track
8836,Certification
27346,Certification
3676,Certification
21826,Assessment
1862,Track
54708,Exam
28472,Track
