CustomerKey,Workload,PartnerOneKey,Consumption
677013741,MODWRK,1257841,150423.29
676962602,BIZAPP,1116873,77.77
676962642,MODWRK,1028682,1.01
676953200,AZURE,1018532,3194960.71
676964417,AZURE,1359050,73908.27
677621196,AZURE,5088644,16295.72
683873785,MODWRK,1070715,1842.08
676993471,MODWRK,4394736,21879.05
677574930,MODWRK,1022389,4334.76
676956128,AZURE,1116965,55755.71
685371974,MODWRK,1223583,662.26
677621799,AZURE,5177991,15216.95
683842591,MODWRK,1166415,0
676955872,AZURE,4797548,15223064.84
683843241,BIZAPP,3323934,15.08
683855819,AZURE,4640959,1401.85
677620345,AZURE,1020353,5145
676961946,AZURE,1018747,1734022.88
676954020,BIZAPP,1120972,116.02
683864019,AZURE,1018856,94461.45
683173853,AZURE,1761617,462468.58
676969346,BIZAPP,1024097,56.33
683842968,AZURE,4665790,5919.02
677621973,AZURE,1659640,755374.32
677936056,MODWRK,1121211,7559.48
683173925,BIZAPP,4446772,82.88
676953193,MODWRK,2608036,7894.53
676963832,AZURE,1023309,14817
676982405,MODWRK,4511774,63369.57
677040186,MODWRK,6044219,10490.01
676966962,BIZAPP,1020340,0.99
676982043,AZURE,1116756,5728947.81
683897700,MODWRK,4919849,1841.61
676954333,BIZAPP,6375084,38.78
677066499,AZURE,4961153,56.71
677045805,MODWRK,2180030,7296.1
683843100,MODWRK,1021570,1111.74
677015895,AZURE,5451148,16951.54
683895544,AZURE,1023126,5237.21
683847513,MODWRK,4106434,4214.71
683871595,MODWRK,1022550,2591.84
683842081,AZURE,1399212,17356.36
676955210,MODWRK,4160024,3.91
676991826,BIZAPP,4990014,10.72
676961946,MODWRK,1129016,31985.49
677045805,AZURE,5070078,10703.93
676957336,BIZAPP,1121729,38.39
676953139,MODWRK,1164592,125937.21
677621170,AZURE,1020691,35262.04
676956675,BIZAPP,2295721,17.3
676954003,AZURE,6192587,15207
676956556,AZURE,2766181,75874.72
683873785,AZURE,1202533,41706.56
677063765,MODWRK,1015394,27692.92
677062222,MODWRK,1560886,15109.91
677620273,AZURE,4480074,247434.3
676953246,AZURE,1935338,1528543.76
677621022,AZURE,1119357,117630.86
676955870,MODWRK,4360674,62680.5
676966654,MODWRK,2823963,1839.24
676964776,MODWRK,6051482,618.26
683174086,MODWRK,1116873,12381.02
683386859,AZURE,1028682,4931.23
676953346,MODWRK,2823663,422.42
677574667,AZURE,1221609,14968.89
676958047,AZURE,1079785,276851.39
676954654,MODWRK,1239637,2230.4
676953365,MODWRK,4452374,5776.82
677621270,MODWRK,1164141,1991.95
676971051,MODWRK,1020941,1059.83
676953008,BIZAPP,1049537,304.45
676957752,AZURE,3655750,250198.88
676954114,BIZAPP,2110038,2.97
677013741,BIZAPP,2423529,83.85
676978777,MODWRK,4005548,141.39
676956055,AZURE,4640959,590.09
676954102,MODWRK,1542558,13375.95
676962196,AZURE,1388828,10139.22
676956055,MODWRK,1154094,0
676956067,AZURE,5299673,1230099.1
677620720,AZURE,3071686,215904.5
676956421,AZURE,4617749,351742.04
676951641,MODWRK,1098601,0
676951440,BIZAPP,5042459,15.18
683910123,AZURE,1121211,411.21
683173925,MODWRK,4446772,1944.65
676954333,AZURE,4761928,3078334.97
676954086,AZURE,6016266,20321.35
677031139,AZURE,-6048,2522340.68
677040186,AZURE,6044219,1310101.45
676953643,AZURE,4689496,176712.69
676967273,MODWRK,1121815,15819.56
683843583,MODWRK,1016459,988.24
676953790,BIZAPP,1099977,2.94
676962602,AZURE,4939096,1119616.25
677031139,MODWRK,4838299,115.06
677043503,AZURE,1021570,175505.15
676955159,MODWRK,5451148,1140.54
677135075,AZURE,1023126,648027.68
677622081,AZURE,1377041,160371.37
677039644,AZURE,5370746,14721
676952873,AZURE,-3194,656760.75
683841883,MODWRK,6143203,1358.36
676971849,AZURE,4790339,245919.32
676953372,BIZAPP,3238309,1
677039644,MODWRK,4822476,10079.09
676971945,BIZAPP,4365512,7
676973564,MODWRK,1224496,1009.61
677038259,AZURE,1020691,2826.18
683881448,AZURE,3101661,36637.78
677059620,AZURE,3811333,595235
676956556,MODWRK,2766181,556.07
676952997,MODWRK,1202533,5261.26
683173853,MODWRK,1161804,14387
677574827,MODWRK,6188895,5684.82
676954151,MODWRK,3278016,187.8
677001010,MODWRK,1023128,2451.58
677001010,BIZAPP,1116670,1632.32
676953359,AZURE,1112553,1016667.01
683864722,MODWRK,2823963,1482.73
677574474,AZURE,1021730,7616.43
676967103,AZURE,1164670,23772.75
677014667,AZURE,1028682,86898.77
683863331,MODWRK,1018532,1178.76
683848375,MODWRK,1359050,1792.56
676952854,AZURE,2509569,166976.06
676956659,MODWRK,1155144,46077.99
677622158,AZURE,-100968,264037.15
683841758,AZURE,4905091,474130.24
677620299,MODWRK,6223617,1052.86
676981936,AZURE,6443296,562138.28
677060954,AZURE,4655346,18510.24
676962196,MODWRK,1166415,1370.18
677029904,BIZAPP,1416163,3.88
683843107,MODWRK,1121602,8889.28
677620736,AZURE,4640959,2351.51
677020807,MODWRK,1020955,1850.6
677575067,MODWRK,1018747,2422.8
683865514,AZURE,4505241,6951.06
676972970,MODWRK,1018856,1477.35
677867645,AZURE,4720842,21304
677028056,MODWRK,1032424,3097.84
677015235,AZURE,4665790,24284.36
676951440,AZURE,3983413,2111104.93
683841742,MODWRK,1121211,958.36
677620942,BIZAPP,1020950,89.17
676957341,MODWRK,4545212,24823.73
676979522,AZURE,6016266,471910.5
683843917,AZURE,4702261,4330.51
683148693,MODWRK,4804605,14241.95
677621320,MODWRK,4526641,3941.55
676997313,MODWRK,1189434,1784.55
677073467,MODWRK,2134907,839.44
676953790,MODWRK,1099977,2644.18
676953156,AZURE,-2779,381331.44
677102775,AZURE,5344223,6799526.08
677043503,MODWRK,1021570,25694.48
676955159,BIZAPP,5451148,447.39
683859792,AZURE,1023126,30.19
683933968,AZURE,5022515,394408.67
683872702,MODWRK,4596113,12396.11
677043573,MODWRK,1132726,644.52
677652067,MODWRK,1072733,142.88
677037623,AZURE,4790339,594785.46
677621078,MODWRK,1129016,598.53
677621039,MODWRK,4070513,3949.4
676971945,MODWRK,4365512,38156.37
676973564,BIZAPP,1224496,162.91
676956527,AZURE,1020691,16886.81
677621193,AZURE,1037740,189339.77
676982106,MODWRK,4736139,23.25
677047612,MODWRK,2751745,78.34
683881112,MODWRK,1202533,267.82
677621419,MODWRK,1015394,0.98
676953004,AZURE,1560886,8382750.13
677620273,MODWRK,4480074,1518.18
677938187,MODWRK,4261347,20860.77
677574560,MODWRK,1369364,1665.14
676954132,MODWRK,1095981,19441.81
676961946,BIZAPP,1227995,15.16
677936063,AZURE,1081344,158362.56
677621196,MODWRK,1116873,1216.17
677652024,MODWRK,1227353,0
683863331,AZURE,1018532,32898.31
676954044,AZURE,1359050,364181.15
683995898,MODWRK,1094193,2607.1
683173975,MODWRK,1070715,3174.12
676954018,AZURE,1099908,12244921.11
683841943,AZURE,1161962,32989.96
677620299,BIZAPP,6223617,53.99
677063668,MODWRK,1223583,1351.83
677574383,MODWRK,1248628,2243.11
676969610,MODWRK,2698463,16615.82
676964542,MODWRK,4426590,3635.65
683843107,AZURE,1121602,191313.43
683173925,AZURE,4674141,6756431.75
677620345,MODWRK,1020353,1034.85
681017555,MODWRK,1018747,19020.28
677412795,AZURE,1091405,2934570.71
677010915,AZURE,1018856,92400.28
677024767,MODWRK,1164205,12074.43
677051860,AZURE,-2760,468194.78
677574353,MODWRK,1711504,2461.15
676965843,MODWRK,5103967,252.19
676991459,MODWRK,1121211,8825.45
676980718,MODWRK,1022622,1027.09
676968236,AZURE,1024009,14661
676964132,AZURE,1023309,4866.5
676953035,AZURE,5356110,103938.62
677024327,AZURE,1982107,17996.84
683841943,BIZAPP,1020340,58.92
677574903,MODWRK,1116756,204.41
677009829,MODWRK,1169484,1315.13
677620359,BIZAPP,1021728,171.55
683860345,MODWRK,1273484,0
676969346,AZURE,4747255,2464810.18
677049705,MODWRK,1021570,110.66
676980860,AZURE,3238133,206.12
677063554,MODWRK,1023126,4554.06
683173841,MODWRK,1023951,14652.11
683174023,MODWRK,1145624,11985.91
676954003,MODWRK,3715146,54.2
676967140,AZURE,1104812,15049.67
676954839,BIZAPP,1049988,87.39
677574343,MODWRK,3259875,2649.92
676959485,MODWRK,1540400,1098.78
677936063,MODWRK,1022177,22355.31
677621174,BIZAPP,1832037,9.18
676957838,AZURE,1020691,19673.15
683841701,MODWRK,2000019,2464.29
676960231,AZURE,4442651,205749.71
683957412,MODWRK,1022625,472
677651991,MODWRK,1202533,2517.36
677063765,AZURE,1015394,614754.46
677620962,AZURE,5395461,14926.5
676988030,BIZAPP,3713193,189.32
676982395,MODWRK,3565012,207.85
676953663,BIZAPP,1116670,101.08
676959810,AZURE,1047415,54496.42
683842460,MODWRK,4813611,20466.05
677574474,MODWRK,1021730,2700.85
676988882,MODWRK,4363385,2539.75
677620942,AZURE,1094499,14742
676971052,AZURE,1018532,168493.34
676952528,MODWRK,1359050,18420.71
676957124,MODWRK,2271859,16568.15
676953401,AZURE,5173454,1882899.23
676963285,MODWRK,4394736,7630.37
677094907,MODWRK,2702613,338.44
676952252,BIZAPP,3664166,759.48
677003203,AZURE,1094669,161167.68
683174051,AZURE,1115857,1426918.58
677066499,MODWRK,1166415,1.02
676964542,AZURE,4426590,27690.13
677574373,MODWRK,3560454,869.76
683165989,AZURE,4640959,275619.1
676959806,AZURE,4504602,17166.03
677575067,AZURE,1018747,58257.08
676955082,MODWRK,1224510,3292.32
683915729,AZURE,1018856,43507.18
683859792,MODWRK,1164205,0
683841979,AZURE,4210355,121630.41
677620389,MODWRK,1048531,8508.92
676954201,MODWRK,4123277,2459.2
676962223,AZURE,1023404,376.46
677033270,AZURE,1304344,66364.3
676956119,MODWRK,3447433,32974.5
676951641,AZURE,1148702,138525.28
676955101,MODWRK,1050874,3545.47
683845092,MODWRK,1196613,333.57
676959495,AZURE,4814947,1592911.96
676953297,AZURE,1116756,2380841.13
677073467,BIZAPP,2134907,16.78
683148693,AZURE,4075,323682.68
683919638,MODWRK,1273484,228.55
683887310,AZURE,3024431,1461310.38
676974834,MODWRK,1021570,4640.26
676993339,MODWRK,1258724,1
676996023,MODWRK,6446231,360.49
683863930,AZURE,1626678,145225.1
676953035,MODWRK,4577767,88262.29
677622001,BIZAPP,4773314,164.14
677003582,AZURE,1104812,147850.21
676991444,BIZAPP,1049988,221.65
683842189,MODWRK,1024274,1381.39
677621807,AZURE,1540400,2105.6
677035787,MODWRK,1272616,16898.8
677007542,MODWRK,1018430,5990.24
683856129,AZURE,1020691,16143.3
677082645,MODWRK,5254545,4040.52
676953291,AZURE,4775329,8167015.48
677041692,MODWRK,2766181,11426.55
683122394,MODWRK,1202533,92.67
677071610,MODWRK,1015394,33369.47
676992702,AZURE,5395461,14581.5
676953584,AZURE,1194693,17523386.55
677620978,AZURE,1101651,9820.59
676956624,AZURE,4637655,170472.32
683844313,MODWRK,1020951,1351.42
676953359,MODWRK,2823963,33515.9
677001880,MODWRK,1115415,1349.31
676988882,BIZAPP,4363385,55.17
684408056,AZURE,4476153,23470.68
676956067,MODWRK,1018532,1431.78
677652067,AZURE,4716424,151389.73
677024348,MODWRK,1019636,65220.48
677016883,MODWRK,1239637,113991.13
677621218,MODWRK,1057333,534.1
683841943,MODWRK,1161962,9869.24
683124004,MODWRK,555455,5188.67
677003203,MODWRK,1094669,144.93
683173970,BIZAPP,1103875,335.67
676962614,MODWRK,1166415,80.51
676962424,MODWRK,4256340,8160.87
676965843,AZURE,1169329,24193.47
683930896,AZURE,4640959,99.29
677620934,MODWRK,1020955,771.66
676954106,AZURE,1018747,248517.78
676954018,BIZAPP,4743634,3.06
683864019,MODWRK,1018856,1753.69
677620720,MODWRK,4720842,10900.14
683885142,AZURE,4210355,31328.2
676966993,MODWRK,1098601,1073.73
683844019,MODWRK,2800403,91.55
676985687,MODWRK,1121211,13724.82
683841835,MODWRK,1022622,3293.56
677620734,AZURE,1069565,414430.89
676962532,AZURE,6016266,522954.77
676953264,AZURE,3469323,53470.78
677019716,AZURE,1982107,316277.5
676964771,AZURE,1117500,83553.47
683849890,MODWRK,1116756,3356.15
676953328,MODWRK,4919849,0
677028056,BIZAPP,6375084,101.53
676968236,MODWRK,1273484,1169.95
676971945,AZURE,4864219,15211.5
683844629,AZURE,4508549,204152.52
